[2025-07-26 22:12:47] Service de surveillance démarré.
[2025-07-26 22:12:47] Souris - Clic à (963, 265) avec le bouton Button.left
[2025-07-26 22:12:50] Souris - Mouvement à (830, 763)
[2025-07-26 22:12:50] Souris - Mouvement à (831, 764)
[2025-07-26 22:12:50] Souris - Mouvement à (831, 766)
[2025-07-26 22:12:50] Souris - Mouvement à (831, 767)
[2025-07-26 22:12:50] Souris - Mouvement à (832, 768)
[2025-07-26 22:12:50] Souris - Mouvement à (834, 770)
[2025-07-26 22:12:50] Souris - Mouvement à (834, 772)
[2025-07-26 22:12:50] Souris - Mouvement à (834, 773)
[2025-07-26 22:12:50] Souris - Mouvement à (834, 775)
[2025-07-26 22:12:50] Souris - Mouvement à (836, 776)
[2025-07-26 22:12:50] Souris - Mouvement à (839, 777)
[2025-07-26 22:12:50] Souris - Mouvement à (841, 779)
[2025-07-26 22:12:50] Souris - Mouvement à (843, 780)
[2025-07-26 22:12:50] Souris - Mouvement à (846, 782)
[2025-07-26 22:12:50] Souris - Mouvement à (848, 783)
[2025-07-26 22:12:50] Souris - Mouvement à (851, 783)
[2025-07-26 22:12:50] Souris - Mouvement à (855, 785)
[2025-07-26 22:12:50] Souris - Mouvement à (858, 786)
[2025-07-26 22:12:50] Souris - Mouvement à (860, 786)
[2025-07-26 22:12:50] Souris - Mouvement à (861, 786)
[2025-07-26 22:12:50] Souris - Mouvement à (864, 787)
[2025-07-26 22:12:50] Souris - Mouvement à (865, 788)
[2025-07-26 22:12:50] Souris - Mouvement à (866, 788)
[2025-07-26 22:12:50] Souris - Mouvement à (866, 788)
[2025-07-26 22:12:50] Souris - Mouvement à (868, 788)
[2025-07-26 22:12:50] Souris - Mouvement à (869, 788)
[2025-07-26 22:12:50] Souris - Mouvement à (872, 788)
[2025-07-26 22:12:50] Souris - Mouvement à (874, 788)
[2025-07-26 22:12:50] Souris - Mouvement à (879, 788)
[2025-07-26 22:12:50] Souris - Mouvement à (883, 789)
[2025-07-26 22:12:50] Souris - Mouvement à (889, 791)
[2025-07-26 22:12:50] Souris - Mouvement à (893, 793)
[2025-07-26 22:12:50] Souris - Mouvement à (896, 793)
[2025-07-26 22:12:50] Souris - Mouvement à (898, 793)
[2025-07-26 22:12:50] Souris - Mouvement à (899, 793)
[2025-07-26 22:12:50] Souris - Mouvement à (902, 793)
[2025-07-26 22:12:50] Souris - Mouvement à (904, 793)
[2025-07-26 22:12:50] Souris - Mouvement à (907, 793)
[2025-07-26 22:12:50] Souris - Mouvement à (911, 793)
[2025-07-26 22:12:50] Souris - Mouvement à (913, 793)
[2025-07-26 22:12:50] Souris - Mouvement à (914, 793)
[2025-07-26 22:12:50] Souris - Mouvement à (916, 793)
[2025-07-26 22:12:50] Souris - Mouvement à (920, 793)
[2025-07-26 22:12:50] Souris - Mouvement à (922, 793)
[2025-07-26 22:12:50] Souris - Mouvement à (925, 793)
[2025-07-26 22:12:50] Souris - Mouvement à (928, 793)
[2025-07-26 22:12:50] Souris - Mouvement à (929, 793)
[2025-07-26 22:12:50] Souris - Mouvement à (931, 793)
[2025-07-26 22:12:50] Souris - Mouvement à (934, 793)
[2025-07-26 22:12:50] Souris - Mouvement à (935, 793)
[2025-07-26 22:12:50] Souris - Mouvement à (938, 793)
[2025-07-26 22:12:50] Souris - Mouvement à (940, 793)
[2025-07-26 22:12:50] Souris - Mouvement à (944, 793)
[2025-07-26 22:12:50] Souris - Mouvement à (945, 794)
[2025-07-26 22:12:50] Souris - Mouvement à (947, 796)
[2025-07-26 22:12:50] Souris - Mouvement à (949, 796)
[2025-07-26 22:12:50] Souris - Mouvement à (950, 796)
[2025-07-26 22:12:50] Souris - Mouvement à (952, 796)
[2025-07-26 22:12:50] Souris - Mouvement à (953, 796)
[2025-07-26 22:12:50] Souris - Mouvement à (955, 796)
[2025-07-26 22:12:50] Souris - Mouvement à (956, 796)
[2025-07-26 22:12:50] Souris - Mouvement à (958, 796)
[2025-07-26 22:12:50] Souris - Mouvement à (961, 796)
[2025-07-26 22:12:50] Souris - Mouvement à (964, 796)
[2025-07-26 22:12:50] Souris - Mouvement à (968, 796)
[2025-07-26 22:12:50] Souris - Mouvement à (974, 796)
[2025-07-26 22:12:50] Souris - Mouvement à (977, 796)
[2025-07-26 22:12:50] Souris - Mouvement à (981, 796)
[2025-07-26 22:12:50] Souris - Mouvement à (983, 796)
[2025-07-26 22:12:50] Souris - Mouvement à (986, 796)
[2025-07-26 22:12:51] Souris - Mouvement à (987, 796)
[2025-07-26 22:12:51] Souris - Mouvement à (989, 796)
[2025-07-26 22:12:51] Souris - Mouvement à (991, 796)
[2025-07-26 22:12:51] Souris - Mouvement à (993, 796)
[2025-07-26 22:12:51] Souris - Mouvement à (995, 796)
[2025-07-26 22:12:51] Souris - Mouvement à (997, 798)
[2025-07-26 22:12:51] Souris - Mouvement à (1001, 798)
[2025-07-26 22:12:51] Souris - Mouvement à (1006, 797)
[2025-07-26 22:12:51] Souris - Mouvement à (1011, 794)
[2025-07-26 22:12:51] Souris - Mouvement à (1025, 793)
[2025-07-26 22:12:51] Souris - Mouvement à (1041, 793)
[2025-07-26 22:12:51] Souris - Mouvement à (1060, 793)
[2025-07-26 22:12:51] Souris - Mouvement à (1105, 793)
[2025-07-26 22:12:51] Souris - Mouvement à (1131, 799)
[2025-07-26 22:12:51] Souris - Mouvement à (1163, 799)
[2025-07-26 22:12:51] Souris - Mouvement à (1185, 801)
[2025-07-26 22:12:51] Souris - Mouvement à (1205, 805)
[2025-07-26 22:12:51] Souris - Mouvement à (1227, 805)
[2025-07-26 22:12:51] Souris - Mouvement à (1245, 805)
[2025-07-26 22:12:51] Souris - Mouvement à (1256, 805)
[2025-07-26 22:12:51] Souris - Mouvement à (1269, 805)
[2025-07-26 22:12:51] Souris - Mouvement à (1277, 800)
[2025-07-26 22:12:51] Souris - Mouvement à (1281, 800)
[2025-07-26 22:12:51] Souris - Mouvement à (1286, 796)
[2025-07-26 22:12:51] Souris - Mouvement à (1288, 795)
[2025-07-26 22:12:51] Souris - Mouvement à (1290, 793)
[2025-07-26 22:12:51] Souris - Mouvement à (1295, 790)
[2025-07-26 22:12:51] Souris - Mouvement à (1300, 788)
[2025-07-26 22:12:52] Souris - Mouvement à (1303, 785)
[2025-07-26 22:12:52] Souris - Mouvement à (1311, 782)
[2025-07-26 22:12:52] Souris - Mouvement à (1318, 779)
[2025-07-26 22:12:52] Souris - Mouvement à (1330, 774)
[2025-07-26 22:12:52] Souris - Mouvement à (1342, 767)
[2025-07-26 22:12:52] Souris - Mouvement à (1357, 762)
[2025-07-26 22:12:52] Souris - Mouvement à (1377, 756)
[2025-07-26 22:12:52] Souris - Mouvement à (1387, 751)
[2025-07-26 22:12:52] Souris - Mouvement à (1394, 748)
[2025-07-26 22:12:52] Souris - Mouvement à (1398, 747)
[2025-07-26 22:12:52] Souris - Mouvement à (1400, 745)
[2025-07-26 22:12:52] Souris - Mouvement à (1403, 742)
[2025-07-26 22:12:52] Souris - Mouvement à (1405, 740)
[2025-07-26 22:12:52] Souris - Mouvement à (1406, 739)
[2025-07-26 22:12:52] Souris - Mouvement à (1408, 737)
[2025-07-26 22:12:52] Souris - Mouvement à (1409, 736)
[2025-07-26 22:12:52] Souris - Mouvement à (1411, 735)
[2025-07-26 22:12:52] Souris - Mouvement à (1412, 735)
[2025-07-26 22:12:52] Souris - Mouvement à (1414, 735)
[2025-07-26 22:12:52] Souris - Mouvement à (1418, 733)
[2025-07-26 22:12:52] Souris - Mouvement à (1419, 733)
[2025-07-26 22:12:52] Souris - Mouvement à (1420, 733)
[2025-07-26 22:12:52] Souris - Mouvement à (1421, 732)
[2025-07-26 22:12:52] Souris - Mouvement à (1422, 732)
[2025-07-26 22:12:52] Souris - Mouvement à (1423, 732)
[2025-07-26 22:12:52] Souris - Mouvement à (1425, 732)
[2025-07-26 22:12:52] Souris - Mouvement à (1426, 732)
[2025-07-26 22:12:52] Souris - Mouvement à (1428, 732)
[2025-07-26 22:12:52] Souris - Mouvement à (1429, 732)
[2025-07-26 22:12:52] Souris - Mouvement à (1431, 730)
[2025-07-26 22:12:52] Souris - Mouvement à (1434, 730)
[2025-07-26 22:12:52] Souris - Mouvement à (1435, 730)
[2025-07-26 22:12:52] Souris - Mouvement à (1437, 730)
[2025-07-26 22:12:52] Souris - Mouvement à (1438, 730)
[2025-07-26 22:12:52] Souris - Mouvement à (1440, 730)
[2025-07-26 22:12:52] Souris - Mouvement à (1442, 729)
[2025-07-26 22:12:52] Souris - Mouvement à (1443, 729)
[2025-07-26 22:12:52] Souris - Mouvement à (1444, 729)
[2025-07-26 22:12:52] Souris - Mouvement à (1447, 729)
[2025-07-26 22:12:52] Souris - Mouvement à (1450, 729)
[2025-07-26 22:12:52] Souris - Mouvement à (1453, 729)
[2025-07-26 22:12:52] Souris - Mouvement à (1460, 729)
[2025-07-26 22:12:52] Souris - Mouvement à (1468, 729)
[2025-07-26 22:12:52] Souris - Mouvement à (1476, 729)
[2025-07-26 22:12:52] Souris - Mouvement à (1480, 729)
[2025-07-26 22:12:52] Souris - Mouvement à (1483, 729)
[2025-07-26 22:12:52] Souris - Mouvement à (1485, 729)
[2025-07-26 22:12:52] Souris - Mouvement à (1486, 728)
[2025-07-26 22:12:52] Souris - Mouvement à (1487, 727)
[2025-07-26 22:12:52] Souris - Mouvement à (1489, 725)
[2025-07-26 22:12:52] Souris - Mouvement à (1491, 723)
[2025-07-26 22:12:52] Souris - Mouvement à (1492, 723)
[2025-07-26 22:12:52] Souris - Mouvement à (1494, 723)
[2025-07-26 22:12:52] Souris - Mouvement à (1496, 722)
[2025-07-26 22:12:52] Souris - Mouvement à (1497, 721)
[2025-07-26 22:12:52] Souris - Mouvement à (1498, 721)
[2025-07-26 22:12:52] Souris - Mouvement à (1500, 720)
[2025-07-26 22:12:52] Souris - Mouvement à (1502, 718)
[2025-07-26 22:12:52] Souris - Mouvement à (1503, 718)
[2025-07-26 22:12:52] Souris - Mouvement à (1505, 717)
[2025-07-26 22:12:52] Souris - Mouvement à (1506, 717)
[2025-07-26 22:12:52] Souris - Mouvement à (1507, 716)
[2025-07-26 22:12:52] Souris - Mouvement à (1508, 715)
[2025-07-26 22:12:52] Souris - Mouvement à (1509, 715)
[2025-07-26 22:12:52] Souris - Mouvement à (1510, 714)
[2025-07-26 22:12:52] Souris - Mouvement à (1511, 713)
[2025-07-26 22:12:52] Souris - Mouvement à (1511, 712)
[2025-07-26 22:12:52] Souris - Mouvement à (1512, 711)
[2025-07-26 22:12:52] Souris - Mouvement à (1513, 710)
[2025-07-26 22:12:52] Souris - Mouvement à (1513, 709)
[2025-07-26 22:12:52] Souris - Mouvement à (1513, 707)
[2025-07-26 22:12:52] Souris - Mouvement à (1513, 706)
[2025-07-26 22:12:52] Souris - Mouvement à (1513, 704)
[2025-07-26 22:12:52] Souris - Mouvement à (1511, 702)
[2025-07-26 22:12:52] Souris - Mouvement à (1509, 700)
[2025-07-26 22:12:52] Souris - Mouvement à (1508, 700)
[2025-07-26 22:12:52] Souris - Mouvement à (1505, 699)
[2025-07-26 22:12:52] Souris - Mouvement à (1502, 699)
[2025-07-26 22:12:52] Souris - Mouvement à (1499, 697)
[2025-07-26 22:12:52] Souris - Mouvement à (1497, 697)
[2025-07-26 22:12:52] Souris - Mouvement à (1493, 697)
[2025-07-26 22:12:52] Souris - Mouvement à (1488, 697)
[2025-07-26 22:12:52] Souris - Mouvement à (1485, 697)
[2025-07-26 22:12:52] Souris - Mouvement à (1481, 697)
[2025-07-26 22:12:52] Souris - Mouvement à (1476, 697)
[2025-07-26 22:12:52] Souris - Mouvement à (1473, 697)
[2025-07-26 22:12:52] Souris - Mouvement à (1470, 697)
[2025-07-26 22:12:52] Souris - Mouvement à (1466, 700)
[2025-07-26 22:12:52] Souris - Mouvement à (1463, 700)
[2025-07-26 22:12:52] Souris - Mouvement à (1460, 701)
[2025-07-26 22:12:52] Souris - Mouvement à (1456, 703)
[2025-07-26 22:12:52] Souris - Mouvement à (1453, 704)
[2025-07-26 22:12:52] Souris - Mouvement à (1449, 707)
[2025-07-26 22:12:52] Souris - Mouvement à (1447, 708)
[2025-07-26 22:12:52] Souris - Mouvement à (1443, 711)
[2025-07-26 22:12:52] Souris - Mouvement à (1438, 713)
